ID,Institucion,Programa,Nivel,Semestre,Anio,GPA,GRE_Verbal,GRE_Cuantitativo,GRE_Escritura,Admision
249,UC Berkeley,Industrial Engineering & Operations Research,Doctorado,Otono,2013,3.59,164,153,3.5,Rechazado
250,UC Berkeley,Operations Research,Doctorado,Otono,2013,3.4,154,168,3.5,Rechazado
251,UC Berkeley,Operations Research (IEOR),Maestria,Otono,2013,3.8,164,167,3.5,Admitido
252,UC Berkeley,Operations Research (IEOR),Maestria,Otono,2013,3.72,149,161,3.5,Admitido
253,UC Berkeley,Industrial Engineering And Operations Research (IEOR),Maestria,Otono,2013,3.9,152,164,3.0,Rechazado
254,University Of California - Berkeley,Industrial Engineering And Operations Research,Maestria,Otono,2013,3.95,162,168,3.0,Rechazado
255,University Of California Berkeley,Industrial Engineering And Operations Research,Maestria,Otono,2013,3.99,170,169,4.0,Admitido
256,University Of California Berkeley,"Industrial Engineering And Operations Research, M. Eng.",Maestria,Otono,2013,3.62,151,163,3.0,Admitido
257,"University Of California, Berkeley",Industrial Engineering & Operations Research,Maestria,Otono,2013,3.86,158,168,4.5,Admitido
258,University Of Texas At Austin,Industrial Engineering And Operations Research,Maestria,Otono,2013,3.67,169,155,3.5,Admitido
259,Carnegie Mellon University Tepper School Of Business,Operations Research,Doctorado,Otono,2012,3.56,149,170,3.0,Rechazado
260,Columbia FFSEAS,Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2012,3.6,160,167,4.0,Rechazado
261,Columbia FFSEASS,Operations Research,Doctorado,Otono,2012,3.96,170,150,4.0,Rechazado
262,Columbia University (FFSEAS),Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2012,4.0,154,170,4.0,Admitido
263,Cornell University,Operations Research And Information Engineering,Doctorado,Otono,2012,3.56,149,170,3.0,Rechazado
264,Cornell University,Operations Research & Industrial Engineering (ORIE),Doctorado,Otono,2012,3.3,154,167,3.0,Rechazado
265,Cornell University,Industrial Engineering And Operations Research,Doctorado,Otono,2012,3.38,149,163,4.0,Rechazado
266,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2012,3.56,149,170,3.0,Rechazado
267,Georgia Tech,Operations Research,Maestria,Otono,2012,3.6,147,160,3.0,Admitido
268,Massachussettes Institute Of Technology (MIT),Operations Research Center (ORC),Doctorado,Otono,2012,3.92,162,164,4.0,Admitido
269,Princeton University,Operations Research And Financial Engineering,Doctorado,Otono,2012,3.56,149,170,3.0,Rechazado
270,Princeton University,Operations Research And Financial Engineering (ORFE),Doctorado,Otono,2012,3.51,162,167,4.0,Rechazado
271,U.C. Berkeley,Industrial Engineering & Operations Research,Maestria,Otono,2012,3.7,163,162,4.5,Admitido
272,UC Berkeley (UCB),Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2012,4.0,170,153,4.0,Admitido
273,University Of California At Berkeley (UC Berkeley),Industrial Engineering Operations Research (IEOR),Maestria,Otono,2012,3.9,170,166,4.5,Admitido
